City_ID,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
279,minas de matahambre,75.31,92,15,2.75,1727848379,CU,-83.9447,22.5887
280,vanino,57.38,32,58,7.25,1727848107,RU,140.2543,49.0869
281,san pablo huixtepec,63.39,90,100,5.12,1727848381,MX,-96.7667,16.8333
282,iwanai,62.01,90,100,9.69,1727848383,JP,140.5089,42.9744
283,tulun,59.07,57,100,14.97,1727848384,RU,100.5792,54.5611
284,howard springs,94.6,53,6,10.18,1727848385,AU,131.047,-12.497
285,sabang,83.01,77,100,8.46,1727848387,ID,95.3214,5.8933
286,reggane,86.77,24,10,17.47,1727848388,DZ,0.1714,26.7158
287,isoka,77.38,36,54,9.17,1727848389,ZM,32.6335,-10.1606
288,necochea,40.15,90,36,7.16,1727848391,AR,-58.7368,-38.5473
289,jinghong,72.34,85,100,2.73,1727848392,CN,100.7341,21.991
290,christchurch,60.19,66,20,21.99,1727848393,NZ,172.6333,-43.5333
291,jwaneng,58.17,38,0,20.11,1727848394,BW,24.7303,-24.6004
292,nieuw amsterdam,76.84,88,33,6.22,1727848395,SR,-55.0833,5.8833
293,lionel town,78.46,90,96,5.3,1727848396,JM,-77.2406,17.8101
294,saint-pie,56.59,79,10,1.14,1727848397,CA,-72.8991,45.5001
295,mount pearl,49.33,93,100,23.02,1727848398,CA,-52.7813,47.5166
296,tabou,76.17,89,99,7.38,1727848400,CI,-7.3528,4.423
297,mil'kovo,53.35,34,75,8.88,1727848401,RU,37.7956,55.6078
298,sosnovka,49.39,36,21,9.04,1727848403,RU,51.2842,56.255
299,sao miguel do araguaia,81.1,31,1,4.25,1727848405,BR,-50.1628,-13.275
300,mancio lima,76.12,71,82,2.86,1727848407,BR,-72.8958,-7.6142
301,gudul,53.01,83,100,5.88,1727848408,TR,32.2455,40.2105
302,mukalla,82.98,67,60,9.26,1727848410,YE,49.1242,14.5425
303,argostolion,67.75,45,0,0.0,1727848411,GR,20.489,38.1811
